task_id,inconsistency type,inconsistency type,inconsistency type,inconsistency type,inconsistency type,inconsistency type,inconsistency type,inconsistency type
62e60ed4d76274f8a4026da0,{12},,,,,,,
62e60ed4d76274f8a4026da0,{13},,,,,,,
62e60e49d76274f8a4026d25,{3},{7},,,,,,
62e60e49d76274f8a4026d25,{21},,,,,,,
62e5dc9ed76274f8a4026b5b,{13},{5},{3},{7},{1},{14},,
62e5dc9ed76274f8a4026b5b,{13},{3},{7},{14},,,,
62e5dc9ed76274f8a4026b5b,{13},{5},{7},{14},,,,
62e5dc9ed76274f8a4026b5b,{13},{5},{3},{7},{1},{14},,
62e5dc9ed76274f8a4026b5b,{13},{5},{3},{1},{7},{14},,
62e5dc9ed76274f8a4026b5b,{13},{5},{3},{1},{7},{14},,
62e5dc9ed76274f8a4026b5b,{13},{3},{7},,,,,
62e5dc9ed76274f8a4026b5b,{13},{5},{7},{14},,,,
62e5dc9ed76274f8a4026b5b,{13},{3},{7},{14},,,,
62e4fbda85ea986430890403,{3},,,,,,,
62e4fb6585ea98643089032b,{12},{13},,,,,,
62b8d22a48ba5a41d1c3f47e,{4},,,,,,,
62b8d22a48ba5a41d1c3f47e,{13},{4},,,,,,
62b8d22a48ba5a41d1c3f47e,{13},,,,,,,
62b8d22948ba5a41d1c3f47c,{18},,,,,,,
62b8d22948ba5a41d1c3f47c,{13},,,,,,,
62b8bbbfe0d34b282c181210,{5},{3},{24},{13},{14},,,
62b8bbbfe0d34b282c181210,{21},,,,,,,
62b8bbbfe0d34b282c181210,{5},{21},{13},{14},,,,
62b8bbbfe0d34b282c181210,{1},{13},{5},{3},{18},,,
62b8bbbfe0d34b282c181210,{1},{5},{3},{21},{14},,,
62b8bbbfe0d34b282c18120f,{5},{3},{19},{21},{13},{14},,
62b8bbbfe0d34b282c18120f,{4},{5},{3},{19},{24},{13},{14},
62b8bbbfe0d34b282c18120f,{4},{5},{3},{19},{24},{13},{14},
62b8bbbfe0d34b282c18120f,{4},{5},{3},{19},{21},{13},,
62b8bbbfe0d34b282c18120f,{1},{5},{3},{19},{21},{13},{14},
62b8bbbfe0d34b282c18120f,{1},{4},{5},{3},{19},{21},{13},
62b8bbbfe0d34b282c18120f,{1},{4},{5},{3},{19},{21},{13},
62b8bbbfe0d34b282c18120f,{4},{5},{3},{19},{21},{13},{14},
62b8bbbce0d34b282c18120d,{5},,,,,,,
62b8bbbce0d34b282c18120d,{5},{3},{19},{13},{18},,,
62b8bbbce0d34b282c18120d,{10},{5},{3},{19},,,,
62b8bbbce0d34b282c18120d,{10},{13},{5},{3},{19},,,
62b8b3d6eb7e40a82d2d111c,{19},,,,,,,
62b8b3d4eb7e40a82d2d110e,{11},,,,,,,
62b8b3d4eb7e40a82d2d110e,{11},,,,,,,
62b8b3d4eb7e40a82d2d110e,{11},{13},,,,,,
62b8b3d4eb7e40a82d2d110e,{11},{13},,,,,,
62b8b3d4eb7e40a82d2d110e,{11},,,,,,,
62b8b3d4eb7e40a82d2d110e,{11},,,,,,,
62b8b3d4eb7e40a82d2d110d,{11},{13},,,,,,
62b87b099a0c4fa8b80b3538,{13},,,,,,,
62b87af69a0c4fa8b80b351a,{10},,,,,,,
62b45df15108cfac7f2109dc,{12},{19},,,,,,
62b45df15108cfac7f2109dc,{12},{13},,,,,,
62b463153879012d19481498,{12},{13},{5},{19},,,,
62b463153879012d19481498,{12},{13},,,,,,
62b463153879012d1948149b,{7},{17},,,,,,
62b463153879012d1948149b,{19},{20},{17},,,,,
62b463153879012d1948149b,{10},{13},,,,,,
62b463153879012d1948149b,{10},,,,,,,
62b463153879012d1948149c,{11},{6},{13},,,,,
62b463153879012d1948149c,{12},{11},{13},,,,,
62b463153879012d1948149c,{12},{11},{13},,,,,
62b463153879012d1948149c,{12},{11},{13},,,,,
62b463153879012d1948149c,{11},{6},{13},,,,,
62b463153879012d1948149c,{12},{11},{13},,,,,
62b463153879012d1948149c,{12},{11},{13},,,,,
62b463153879012d194814a1,{13},{19},,,,,,
62b463153879012d194814a1,{13},,,,,,,
62b463153879012d194814a1,{13},,,,,,,
62b463163879012d194814a2,{13},{19},,,,,,
62b463163879012d194814a2,{13},,,,,,,
62b463163879012d194814a2,{13},,,,,,,
62b463163879012d194814a2,{13},{19},,,,,,
62b463163879012d194814a2,{13},{19},,,,,,
62b463163879012d194814a2,{13},,,,,,,
62b463283879012d1948153d,{13},,,,,,,
62b463283879012d1948153d,{13},{3},{18},,,,,
62b463283879012d1948153d,{19},{13},,,,,,
62b463283879012d1948153d,{19},{13},,,,,,
62b463283879012d1948153d,{13},,,,,,,
62b463283879012d1948153d,{13},{18},,,,,,
62b463283879012d1948153d,{13},{5},{18},,,,,
62b463283879012d1948153d,{13},,,,,,,
62b46740d2f69a53b466171a,{10},{3},,,,,,
62b46740d2f69a53b466171a,{3},{15},,,,,,
62b46740d2f69a53b466171a,{10},{3},,,,,,
62b86707b4d922cb0e688c2a,{3},,,,,,,
62b45679d7d32e5b55cc83a9,{13},,,,,,,
62b438b666fea644fe22cc72,{13},,,,,,,
62b438b666fea644fe22cc72,{13},,,,,,,
62ece4982e6aefcf4aabbd5f,{16},,,,,,,
62ece4982e6aefcf4aabbd5f,{16},{19},,,,,,
62ece4982e6aefcf4aabbd5f,{8},{5},{16},,,,,
62ece4982e6aefcf4aabbd5f,{16},,,,,,,
62ece4982e6aefcf4aabbd5f,{9},{16},,,,,,
62ece4982e6aefcf4aabbd5f,{16},,,,,,,
62ece4982e6aefcf4aabbd61,{7},{13},{12},,,,,
62ece4982e6aefcf4aabbd61,{12},{19},{13},,,,,
62ece4982e6aefcf4aabbd61,{7},{5},{13},{12},,,,
62ece4982e6aefcf4aabbd61,{3},{13},{12},,,,,
62ece4982e6aefcf4aabbd61,{7},{13},{12},,,,,
62ece4982e6aefcf4aabbd61,{7},{13},{12},,,,,
62ece4982e6aefcf4aabbd61,{7},{13},{12},,,,,
62ece4982e6aefcf4aabbd61,{13},{12},,,,,,
62ece4982e6aefcf4aabbd61,{7},{13},{12},,,,,
62ece4982e6aefcf4aabbd62,{20},,,,,,,
62ece4982e6aefcf4aabbd62,{12},{13},,,,,,
62ece4982e6aefcf4aabbd62,{19},{20},,,,,,
62ece4982e6aefcf4aabbd62,{3},{20},{13},,,,,
62ece4982e6aefcf4aabbd63,{10},,,,,,,
62ece4982e6aefcf4aabbd63,{13},{17},,,,,,
62ece4982e6aefcf4aabbd63,{3},,,,,,,
62ece4982e6aefcf4aabbd63,{10},,,,,,,
62ece4982e6aefcf4aabbd65,{13},,,,,,,
62ece4982e6aefcf4aabbd65,{13},,,,,,,
62ece4982e6aefcf4aabbd65,{13},,,,,,,
62ece4982e6aefcf4aabbd65,{13},,,,,,,
62ece4982e6aefcf4aabbd66,{12},{5},{3},,,,,
62ece4982e6aefcf4aabbd66,{12},{5},{3},{15},,,,
62ece4982e6aefcf4aabbd6a,{19},,,,,,,
62ece4982e6aefcf4aabbd6a,{19},,,,,,,
62ece4982e6aefcf4aabbd70,{11},,,,,,,
62ece4982e6aefcf4aabbd70,{11},{13},,,,,,
62ece4982e6aefcf4aabbd76,{4},,,,,,,
62ece4982e6aefcf4aabbd76,{10},,,,,,,
62ece4982e6aefcf4aabbd76,{4},,,,,,,
62ece4982e6aefcf4aabbd76,{4},,,,,,,
62ece4992e6aefcf4aabbd78,{5},,,,,,,
62ece4992e6aefcf4aabbd78,{11},{5},,,,,,
62ece4992e6aefcf4aabbd78,{6},{5},,,,,,
62ece4992e6aefcf4aabbd78,{6},{5},,,,,,
62ece4992e6aefcf4aabbd7a,{13},,,,,,,
62ece4992e6aefcf4aabbd7d,{12},{13},{4},{5},{3},{15},,
62ece4992e6aefcf4aabbd7d,{12},{13},{5},{3},{15},,,
62ece4992e6aefcf4aabbd7d,{12},{13},{4},{5},{3},{15},,
62ece4992e6aefcf4aabbd7d,{1},{12},{13},{5},{15},{20},{21},
62ece4992e6aefcf4aabbd7d,{12},{13},{4},{5},{3},{21},,
62ece4992e6aefcf4aabbd7e,{12},{9},{3},{23},{13},,,
62ece4992e6aefcf4aabbd7e,{13},{9},{20},,,,,
62ece4992e6aefcf4aabbd7e,{12},{9},{3},{15},{23},{13},,
62ece4992e6aefcf4aabbd7e,{12},{9},{23},{13},,,,
62ece4992e6aefcf4aabbd7e,{13},{9},{19},,,,,
62ece4992e6aefcf4aabbd7e,{12},{9},{13},,,,,
62ece4992e6aefcf4aabbd7e,{1},{12},{9},,,,,
62ece4992e6aefcf4aabbd7f,{19},{20},,,,,,
62ece4992e6aefcf4aabbd7f,{1},{3},,,,,,
62ece4992e6aefcf4aabbd7f,{1},{15},,,,,,
62ece4992e6aefcf4aabbd80,{11},{6},{13},{5},{3},{2},,
62ece4992e6aefcf4aabbd80,{11},{6},{13},{5},{3},{17},,
62ece4992e6aefcf4aabbd80,{11},{13},{5},{3},,,,
62ece4992e6aefcf4aabbd80,{12},{11},{13},{5},,,,
62ece4992e6aefcf4aabbd80,{12},{11},{13},{5},{3},,,
62ece4992e6aefcf4aabbd80,{12},{11},{13},{5},{3},,,
62ece4992e6aefcf4aabbd80,{11},{6},{13},{5},{3},{17},,
62ece4992e6aefcf4aabbd80,{12},{11},{13},{5},,,,
62ece4992e6aefcf4aabbd80,{12},{11},{13},{5},{3},,,
62ece4992e6aefcf4aabbd80,{11},{13},{5},{3},,,,
62ece4992e6aefcf4aabbd82,{13},{3},{17},,,,,
62ece4992e6aefcf4aabbd82,{13},{3},{17},,,,,
62ece4992e6aefcf4aabbd84,{13},,,,,,,
62ece4992e6aefcf4aabbd84,{5},{13},,,,,,
62ece4992e6aefcf4aabbd85,{13},,,,,,,
62ece4992e6aefcf4aabbd85,{13},,,,,,,
62ece4992e6aefcf4aabbd85,{8},{13},,,,,,
62ece4992e6aefcf4aabbd85,{13},,,,,,,
62ece4992e6aefcf4aabbd85,{13},,,,,,,
62ece4992e6aefcf4aabbd85,{13},,,,,,,
62ece4992e6aefcf4aabbd85,{5},{13},,,,,,
62ece4992e6aefcf4aabbd85,{13},,,,,,,
62ece4992e6aefcf4aabbd85,{13},,,,,,,
62ece4992e6aefcf4aabbd86,{21},,,,,,,
62ece4992e6aefcf4aabbd88,{4},,,,,,,
62ece4992e6aefcf4aabbd89,{4},,,,,,,
62ece4992e6aefcf4aabbd8b,{11},,,,,,,
62ece4992e6aefcf4aabbd8b,{11},{17},,,,,,
62ece4992e6aefcf4aabbd8b,{11},{17},,,,,,
62ece4992e6aefcf4aabbd8b,{11},{17},,,,,,
62b8b4baeb7e40a82d2d1136,{3},{13},,,,,,
62b8b4baeb7e40a82d2d1136,{13},,,,,,,
62b8b4baeb7e40a82d2d1136,{5},{3},{13},,,,,
62b8b4baeb7e40a82d2d1136,{5},{13},,,,,,
62b8b4baeb7e40a82d2d1137,{5},{13},,,,,,
62b8b4baeb7e40a82d2d1137,{13},,,,,,,
62b8b4baeb7e40a82d2d1137,{13},,,,,,,
62b8b4baeb7e40a82d2d1137,{5},{13},,,,,,
62b8b4baeb7e40a82d2d1137,{13},,,,,,,
62b8b4baeb7e40a82d2d1137,{13},,,,,,,
62b8b4c1eb7e40a82d2d1139,{13},,,,,,,
62b8b4c1eb7e40a82d2d1139,{13},,,,,,,
62b8b4c1eb7e40a82d2d1139,{13},,,,,,,
62b8b4c1eb7e40a82d2d1139,{13},,,,,,,
62b8b4c1eb7e40a82d2d1139,{13},,,,,,,
62b8b4c1eb7e40a82d2d1139,{13},,,,,,,
62b8b4c1eb7e40a82d2d1139,{5},{13},,,,,,
62b8b4c1eb7e40a82d2d1139,{13},,,,,,,
62b8d22a48ba5a41d1c3f47d,{1},{13},{18},,,,,
62b8a4a4755ee91dce50a3d3,{13},,,,,,,
62b8a4a4755ee91dce50a3d3,{5},{3},{13},,,,,
62b8a4a4755ee91dce50a3d3,{13},,,,,,,
62b8a4a4755ee91dce50a3d3,{13},,,,,,,
62b8a4a4755ee91dce50a3d3,{3},{13},,,,,,
62b8a7b2755ee91dce50a4a7,{5},{17},,,,,,
62b8a7b2755ee91dce50a4a7,{17},,,,,,,
62b8a7b2755ee91dce50a4a7,{17},,,,,,,
6306292252e177c0ba469f11,{13},,,,,,,
6306292652e177c0ba469f34,{24},,,,,,,
6306292652e177c0ba469f34,{24},,,,,,,
6306298b52e177c0ba469fdc,{12},{13},{2},,,,,
6306299052e177c0ba469fe8,{17},{22},,,,,,
6306299052e177c0ba469fe8,{10},,,,,,,
6306299052e177c0ba469fe8,{10},,,,,,,
630629e152e177c0ba46a0d1,{1},{13},,,,,,
630629e152e177c0ba46a0d1,{13},,,,,,,
630629e152e177c0ba46a0d1,{13},,,,,,,
630629e152e177c0ba46a0d1,{13},{3},,,,,,
630629e152e177c0ba46a0d1,{1},{13},,,,,,
630629e152e177c0ba46a0d1,{1},{13},,,,,,
630629e152e177c0ba46a0d1,{13},,,,,,,
6306091073426c38ae68acac,{3},{20},,,,,,
63060b1b73426c38ae68ad42,{11},{13},,,,,,
63060b1b73426c38ae68ad42,{11},{13},,,,,,
63060b1b73426c38ae68ad42,{11},{13},{3},,,,,
62e60e49d76274f8a4026d25,{5},{7},,,,,,
62e5dc9ed76274f8a4026b5b,{13},{5},{3},{7},{14},,,
62e5dc9ed76274f8a4026b5b,{13},{3},{7},,,,,
62e4fb6585ea98643089032b,{12},{13},,,,,,
62e4fb4d85ea9864308902e7,{13},,,,,,,
62b8bbbfe0d34b282c181210,{5},{3},{21},{13},{14},,,
62b8bbbfe0d34b282c181210,{1},{13},{20},{21},,,,
62b8bbbfe0d34b282c181210,{5},{21},{13},{14},,,,
62b8bbbfe0d34b282c181210,{5},{3},{19},{21},{14},,,
62b8bbbfe0d34b282c18120f,{1},{4},{5},{3},{19},{21},{14},
62b8bbbfe0d34b282c18120f,{5},{3},{19},{21},{13},{14},,
62b8bbbce0d34b282c18120d,{13},{5},{3},{19},,,,
62b8b3d4eb7e40a82d2d110e,{10},,,,,,,
62b87b099a0c4fa8b80b3538,{10},,,,,,,
62b87b099a0c4fa8b80b3538,{4},,,,,,,
62b87af99a0c4fa8b80b3524,{5},,,,,,,
62b87af69a0c4fa8b80b351a,{4},,,,,,,
62b87af69a0c4fa8b80b351a,{10},,,,,,,
62b87af69a0c4fa8b80b351a,{10},,,,,,,
62b87af69a0c4fa8b80b351a,{10},,,,,,,
62b87af69a0c4fa8b80b351a,{10},,,,,,,
62b45e135108cfac7f2109f4,{8},,,,,,,
62b463153879012d19481498,{12},{13},,,,,,
62b463153879012d1948149b,{17},,,,,,,
62b463153879012d1948149b,{1},{5},{3},{17},,,,
62b463153879012d1948149b,{1},{10},{2},,,,,
62b463153879012d1948149b,{1},{10},,,,,,
62b463153879012d1948149c,{12},{11},{13},,,,,
62b463153879012d1948149c,{6},{11},{13},{5},,,,
62b463153879012d1948149c,{6},{11},{13},{2},,,,
62b463283879012d1948153d,{13},,,,,,,
62b463283879012d1948153d,{13},,,,,,,
62b463283879012d1948153d,{1},{3},{13},,,,,
62b463283879012d1948153d,{13},{21},{18},,,,,
62b89640755ee91dce50a114,{5},{20},{1},{14},,,,
62b89640755ee91dce50a114,{14},,,,,,,
62b89640755ee91dce50a114,{20},{1},{14},,,,,
62b89640755ee91dce50a114,{3},{1},{14},,,,,
62b438b666fea644fe22cc72,{4},{5},,,,,,
62ece4982e6aefcf4aabbd5f,{5},{14},,,,,,
62ece4982e6aefcf4aabbd5f,{5},{3},{16},{19},,,,
62ece4982e6aefcf4aabbd61,{13},{12},,,,,,
62ece4982e6aefcf4aabbd61,{13},{12},,,,,,
62ece4982e6aefcf4aabbd61,{13},{12},,,,,,
62ece4982e6aefcf4aabbd61,{13},{12},{2},,,,,
62ece4982e6aefcf4aabbd61,{9},{5},{13},{12},{2},,,
62ece4982e6aefcf4aabbd61,{13},{12},,,,,,
62ece4982e6aefcf4aabbd62,{19},{13},,,,,,
62ece4982e6aefcf4aabbd62,{19},,,,,,,
62ece4982e6aefcf4aabbd62,{19},{20},{13},,,,,
62ece4982e6aefcf4aabbd63,{10},{13},,,,,,
62ece4982e6aefcf4aabbd63,{10},{13},,,,,,
62ece4982e6aefcf4aabbd63,{3},{17},,,,,,
62ece4982e6aefcf4aabbd63,{3},{17},,,,,,
62ece4982e6aefcf4aabbd63,{17},,,,,,,
62ece4982e6aefcf4aabbd6a,{19},,,,,,,
62ece4982e6aefcf4aabbd70,{5},,,,,,,
62ece4982e6aefcf4aabbd76,{10},{4},,,,,,
62ece4992e6aefcf4aabbd78,{11},{4},{19},,,,,
62ece4992e6aefcf4aabbd78,{10},,,,,,,
62ece4992e6aefcf4aabbd78,{10},,,,,,,
62ece4992e6aefcf4aabbd7d,{12},{13},{5},{3},{15},{20},{21},
62ece4992e6aefcf4aabbd7d,{1},{12},{13},{5},{3},{15},,
62ece4992e6aefcf4aabbd7d,{12},{6},{13},{5},{3},{15},,
62ece4992e6aefcf4aabbd7d,{1},{12},{13},{5},{3},{15},{21},
62ece4992e6aefcf4aabbd7d,{12},{13},{4},{15},,,,
62ece4992e6aefcf4aabbd7e,{12},{23},{13},,,,,
62ece4992e6aefcf4aabbd7e,{4},{20},,,,,,
62ece4992e6aefcf4aabbd7e,{13},{3},{23},,,,,
62ece4992e6aefcf4aabbd7e,{12},{9},{19},{23},{13},,,
62ece4992e6aefcf4aabbd7e,{9},{23},{13},,,,,
62ece4992e6aefcf4aabbd7e,{12},{3},{23},{13},,,,
62ece4992e6aefcf4aabbd7f,{5},{3},{15},,,,,
62ece4992e6aefcf4aabbd80,{12},{11},{13},{5},,,,
62ece4992e6aefcf4aabbd80,{6},{13},{5},{3},,,,
62ece4992e6aefcf4aabbd80,{12},{11},{13},{5},{3},{17},,
62ece4992e6aefcf4aabbd80,{12},{11},{13},{5},,,,
62ece4992e6aefcf4aabbd80,{12},{11},{13},{5},,,,
62ece4992e6aefcf4aabbd80,{12},{11},{13},,,,,
62ece4992e6aefcf4aabbd80,{12},{11},{13},{5},{3},{17},,
62ece4992e6aefcf4aabbd80,{12},{11},{13},{5},{3},{17},,
62ece4992e6aefcf4aabbd80,{12},{11},{13},,,,,
62ece4992e6aefcf4aabbd84,{24},,,,,,,
62ece4992e6aefcf4aabbd84,{13},,,,,,,
62ece4992e6aefcf4aabbd85,{5},{3},{13},,,,,
62ece4992e6aefcf4aabbd85,{13},,,,,,,
62ece4992e6aefcf4aabbd85,{13},,,,,,,
62ece4992e6aefcf4aabbd85,{13},,,,,,,
62ece4992e6aefcf4aabbd88,{8},,,,,,,
62ece4992e6aefcf4aabbd88,{5},,,,,,,
62ece4992e6aefcf4aabbd89,{4},,,,,,,
62ece4992e6aefcf4aabbd89,{1},{2},,,,,,
62b8b4baeb7e40a82d2d1136,{5},{13},,,,,,
62b8b4baeb7e40a82d2d1136,{5},{13},,,,,,
62b8b4baeb7e40a82d2d1136,{5},{3},{13},,,,,
62b8b4baeb7e40a82d2d1137,{13},,,,,,,
62b8b4c1eb7e40a82d2d1139,{13},{5},,,,,,
62b8b4c1eb7e40a82d2d1139,{5},{13},,,,,,
62b8a7b2755ee91dce50a4a7,{3},{17},,,,,,
6306292652e177c0ba469f34,{1},{13},{21},,,,,
6306298b52e177c0ba469fdc,{12},{13},,,,,,
6306298b52e177c0ba469fdc,{5},,,,,,,
6306299052e177c0ba469fe8,{17},{22},,,,,,
630629e152e177c0ba46a0d1,{13},,,,,,,
62e60ed4d76274f8a4026da0,{12},,,,,,,
62e60ed4d76274f8a4026da0,{4},,,,,,,
62e60ed4d76274f8a4026da0,{12},{13},,,,,,
62e60ed4d76274f8a4026da0,{12},{13},,,,,,
62e60ed4d76274f8a4026da0,{12},{13},,,,,,
62e60ed4d76274f8a4026da0,{12},{13},,,,,,
62e60ed4d76274f8a4026da0,{12},{13},,,,,,
62e60e49d76274f8a4026d25,{3},,,,,,,
62e60e49d76274f8a4026d25,{3},{7},,,,,,
62e60723d76274f8a4026b75,{13},,,,,,,
62e5dc9ed76274f8a4026b5b,{13},{3},{7},{14},,,,
62e5dc9ed76274f8a4026b5b,{13},{3},{1},{7},{14},,,
62e5dc9ed76274f8a4026b5b,{13},{3},{1},{7},{14},,,
62e5dc9ed76274f8a4026b5b,{13},{5},{3},{1},{7},,,
62e5dc9ed76274f8a4026b5b,{13},{3},{1},{7},{14},,,
62e5dc9ed76274f8a4026b5b,{13},{3},{1},{7},{14},,,
62e4fbda85ea986430890403,{3},,,,,,,
62e4fbda85ea986430890403,{1},{3},,,,,,
62e4fb6585ea98643089032b,{12},{13},{20},,,,,
62e4fb6585ea98643089032b,{21},,,,,,,
62e4fb6585ea98643089032b,{12},{13},{20},,,,,
62e4fb6585ea98643089032b,{12},{4},,,,,,
62e4fb6585ea98643089032b,{12},{13},{4},,,,,
62e4fb6585ea98643089032b,{4},,,,,,,
62e4fb6585ea98643089032b,{4},,,,,,,
62e4fb6585ea98643089032b,{12},{13},{4},,,,,
62b8bbbfe0d34b282c18120f,{5},{3},{19},{21},{13},{14},,
62b8bbbfe0d34b282c18120f,{4},{5},{3},{19},{21},{13},{14},
62b8bbbfe0d34b282c18120f,{1},{4},{5},{3},{19},{24},{13},{14}
62b8bbbfe0d34b282c18120f,{1},{4},{5},{3},{19},{21},{13},{14}
62b8bbbfe0d34b282c18120f,{1},{5},{19},{21},{13},,,
62b8bbbfe0d34b282c18120f,{1},{5},{3},{19},{21},{13},,
62b8bbbfe0d34b282c18120f,{4},{5},{3},{19},{21},{13},{14},
62b8bbbce0d34b282c18120d,{5},{3},{19},{13},{18},,,
62b8bbbce0d34b282c18120d,{5},{3},{19},,,,,
62b8bbbce0d34b282c18120d,{5},{3},{19},{13},{18},,,
62b8bbbce0d34b282c18120d,{5},{3},{19},{13},{18},,,
62b8bbbce0d34b282c18120d,{5},{3},{19},{13},{18},,,
62b8bbbce0d34b282c18120d,{5},{3},{19},{13},{18},,,
62b8bbbce0d34b282c18120d,{3},{13},{18},,,,,
62b8b3d4eb7e40a82d2d110f,{3},{13},,,,,,
62b8b3d4eb7e40a82d2d110f,{13},,,,,,,
62b8b3d4eb7e40a82d2d110f,{13},,,,,,,
62b8b3d4eb7e40a82d2d110f,{13},,,,,,,
62b8b3d4eb7e40a82d2d110e,{13},,,,,,,
62b8b3d4eb7e40a82d2d110e,{11},{13},,,,,,
62b8b3d4eb7e40a82d2d110e,{11},{13},,,,,,
62b8b3d4eb7e40a82d2d110d,{3},{13},,,,,,
62b8b3d4eb7e40a82d2d110d,{11},{13},,,,,,
62b87b099a0c4fa8b80b3538,{13},,,,,,,
62b87b099a0c4fa8b80b3538,{13},,,,,,,
62b87b099a0c4fa8b80b3538,{13},,,,,,,
62b87b099a0c4fa8b80b3538,{13},,,,,,,
62b87af99a0c4fa8b80b3524,{21},,,,,,,
62b87af99a0c4fa8b80b3524,{13},,,,,,,
62b87af99a0c4fa8b80b3524,{13},,,,,,,
62b87af99a0c4fa8b80b3524,{13},,,,,,,
62b87af99a0c4fa8b80b3524,{13},,,,,,,
62b87af69a0c4fa8b80b351a,{4},,,,,,,
62b87af69a0c4fa8b80b351a,{4},,,,,,,
62b87af69a0c4fa8b80b351a,{13},,,,,,,
62b463153879012d19481498,{12},{13},,,,,,
62b463153879012d1948149b,{10},,,,,,,
62b463153879012d1948149b,{17},,,,,,,
62b463153879012d1948149b,{1},{17},,,,,,
62b463153879012d1948149b,{17},,,,,,,
62b463153879012d1948149b,{1},{17},,,,,,
62b463153879012d1948149c,{12},{11},{13},,,,,
62b463153879012d1948149c,{12},{11},{13},,,,,
62b463153879012d1948149c,{12},{13},,,,,,
62b463163879012d194814a6,{1},,,,,,,
62b463163879012d194814a6,{1},{12},{13},,,,,
62b463163879012d194814a6,{1},{4},{21},{13},{14},,,
62b463163879012d194814a6,{1},{14},,,,,,
62b463163879012d194814a6,{1},{4},,,,,,
62b463283879012d1948153d,{1},{13},,,,,,
62b463283879012d1948153d,{13},,,,,,,
62b463283879012d1948153d,{13},{3},,,,,,
62b463283879012d1948153d,{13},{18},,,,,,
62b463283879012d1948153d,{13},,,,,,,
62b463283879012d1948153d,{13},{5},{18},,,,,
